MONTH_DATE,CITY,COMPOSITE_BENCHMARK,COMPOSITE_BENCHMARK_CHANGE,MORTGAGE_ARREARS,LOAN_TO_INCOME_RATIO,DEBT_SERVICE_RATIO,MORTGAGE_RATE_5YRS_FIXED,MORTGAGE_RATE_5YRS_VARIABLE,POLICY_RATE,POLICY_RATE_CHANGE,BENCHMARK_TO_RATE_RATIO,BENCHMARK_YOY_PERCENTAGE_CHANGE
2018-01-01,CALGARY,420700,,20.0,280.79,16.9,3.19,2.55,1.25,,336560.0,
2018-02-01,CALGARY,423100,2400.0,,,,3.24,2.5,1.25,0.0,338480.0,
2018-03-01,CALGARY,425500,2400.0,,,,3.24,2.5,1.25,0.0,340400.0,
2018-04-01,CALGARY,426800,1300.0,20.0,267.87,16.17,3.24,2.5,1.25,0.0,341440.0,
2018-05-01,CALGARY,426900,100.0,,,,3.34,2.45,1.25,0.0,341520.0,
2018-06-01,CALGARY,427800,900.0,,,,3.34,2.55,1.25,0.0,342240.0,
2018-07-01,CALGARY,426200,-1600.0,20.0,272.89,16.44,3.34,2.7,1.5,0.25,284133.33,
2018-08-01,CALGARY,424000,-2200.0,,,,3.34,2.8,1.5,0.0,282666.67,
2018-09-01,CALGARY,420500,-3500.0,,,,3.44,2.8,1.5,0.0,280333.33,
2018-10-01,CALGARY,420400,-100.0,20.0,271.9,16.69,3.54,2.95,1.75,0.25,240228.57,
2018-11-01,CALGARY,417300,-3100.0,,,,3.59,2.95,1.75,0.0,238457.14,
2018-12-01,CALGARY,413200,-4100.0,,,,3.6,3.1,1.75,0.0,236114.29,
2019-01-01,CALGARY,410000,-3200.0,21.0,271.89,17.11,3.59,2.95,1.75,0.0,234285.71,-2.54
2019-02-01,CALGARY,409500,-500.0,,,,3.49,2.95,1.75,0.0,234000.0,-3.21
2019-03-01,CALGARY,411100,1600.0,,,,3.29,2.95,1.75,0.0,234914.29,-3.38
2019-04-01,CALGARY,411900,800.0,21.0,273.05,16.59,3.09,2.95,1.75,0.0,235371.43,-3.49
2019-05-01,CALGARY,413100,1200.0,,,,2.99,2.95,1.75,0.0,236057.14,-3.23
2019-06-01,CALGARY,414100,1000.0,,,,2.79,2.97,1.75,0.0,236628.57,-3.2
2019-07-01,CALGARY,414400,300.0,21.0,282.51,16.63,2.77,2.95,1.75,0.0,236800.0,-2.77
2019-08-01,CALGARY,414100,-300.0,,,,2.69,2.99,1.75,0.0,236628.57,-2.33
