date,mortgage_arrears,loan_to_income_ratio,debt_service_ratio,mortgage_rate_5yrs_fixed,mortgage_rate_5yrs_variable,policy_rate,prime_rate
2018-01-31,0.2,280.79,16.9,3.19,2.55,1.25,3.45
2018-02-28,,,,3.24,2.5,1.25,3.45
2018-03-31,,,,3.24,2.5,1.25,3.45
2018-04-30,0.2,267.87,16.17,3.24,2.5,1.25,3.45
2018-05-31,,,,3.34,2.45,1.25,3.45
2018-06-30,,,,3.34,2.55,1.25,3.45
2018-07-31,0.2,272.89,16.44,3.34,2.7,1.5,3.7
2018-08-31,,,,3.34,2.8,1.5,3.7
2018-09-30,,,,3.44,2.8,1.5,3.7
2018-10-31,0.2,271.9,16.69,3.54,2.95,1.75,3.95
2018-11-30,,,,3.59,2.95,1.75,3.95
2018-12-31,,,,3.6,3.1,1.75,3.95
2019-01-31,0.21,271.89,17.11,3.59,2.95,1.75,3.95
2019-02-28,,,,3.49,2.95,1.75,3.95
2019-03-31,,,,3.29,2.95,1.75,3.95
2019-04-30,0.21,273.05,16.59,3.09,2.95,1.75,3.95
2019-05-31,,,,2.99,2.95,1.75,3.95
2019-06-30,,,,2.79,2.97,1.75,3.95
2019-07-31,0.21,282.51,16.63,2.77,2.95,1.75,3.95
2019-08-31,,,,2.69,2.99,1.75,3.95
2019-09-30,,,,2.69,2.95,1.75,3.95
2019-10-31,0.21,284.93,16.61,2.79,2.95,1.75,3.95
2019-11-30,,,,2.74,2.95,1.75,3.95
2019-12-31,,,,2.84,2.95,1.75,3.95
2020-01-31,0.21,284.11,16.56,2.82,2.89,1.75,3.95
2020-02-29,,,,2.69,2.35,1.75,3.95
2020-03-31,,,,2.54,2.08,0.25,2.95
2020-04-30,0.22,283.42,15.85,2.54,2.25,0.25,2.45
2020-05-31,,,,2.39,2.2,0.25,2.45
2020-06-30,,,,2.24,2.0,0.25,2.45
2020-07-31,0.22,295.17,15.9,2.09,1.99,0.25,2.45
2020-08-31,,,,1.99,1.9,0.25,2.45
2020-09-30,,,,1.87,1.8,0.25,2.45
2020-10-31,0.2,306.74,15.95,1.83,1.75,0.25,2.45
2020-11-30,,,,1.79,1.7,0.25,2.45
2020-12-31,,,,1.74,1.6,0.25,2.45
2021-01-31,0.19,306.9,15.72,1.69,1.5,0.25,2.45
2021-02-28,,,,1.69,1.5,0.25,2.45
2021-03-31,,,,1.94,1.45,0.25,2.45
2021-04-30,0.17,316.35,16.08,2.04,1.45,0.25,2.45
2021-05-31,,,,2.09,1.43,0.25,2.45
2021-06-30,,,,2.09,1.43,0.25,2.45
2021-07-31,0.16,318.61,16.11,2.09,1.38,0.25,2.45
2021-08-31,,,,2.09,1.35,0.25,2.45
2021-09-30,,,,1.94,1.3,0.25,2.45
2021-10-31,0.14,318.8,16.04,2.19,1.3,0.25,2.45
2021-11-30,,,,2.52,1.3,0.25,2.45
2021-12-31,,,,2.64,1.35,0.25,2.45
2022-01-31,0.13,318.9,16.29,2.74,1.35,0.25,2.45
2022-02-28,,,,2.89,1.41,0.25,2.45
2022-03-31,,,,3.04,1.75,0.5,2.7
2022-04-30,0.12,315.67,17.41,3.29,2.3,1.0,3.2
2022-05-31,,,,3.79,2.7,1.0,3.2
2022-06-30,,,,4.09,3.0,1.5,3.7
2022-07-31,0.12,303.44,18.86,4.54,3.8,2.5,4.7
