"New housing price index, monthly c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 18-10-0205-01 (formerly CANSIM 327-0056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2026-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Geographical region of Canada, Province or territory, Census metropolitan area, Census agglomeration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New housing price indexes,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26
,"Index, 201612=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (house and land),103.3,103.1,103.1,103.1,103.1,103.2,103.3,103.3,103.3,103.3,103.3,103.3,103.2,103.2,103.2,103.2,103.1,103,102.9,103,103.2,103.3,103.2,103.4,103.4,103.8,104.1,104.1,104.2,104.3,104.7,105.2,106.5,107.3,107.9,108.2,109,111.1,112.3,114.4,116,116.7,117.2,118,118.5,119.6,120.5,120.8,121.9,123.2,124.7,125.1,125.7,125.9,126,126.1,126,125.7,125.5,125.5,125.2,124.9,124.9,124.8,124.9,125,124.9,125,124.7,124.7,124.4,124.4,124.3,124.4,124.4,124.7,124.9,124.7,125,125,125,124.5,124.6,124.5,124.4,124.5,124.5,124,123.7,123.4,123.3,122.9,122.7,122.2,122.2,122,121.5,121.9
House only,103.2,102.9,102.9,102.7,102.7,103,103.1,103,102.9,102.9,102.9,102.9,102.8,102.8,102.8,102.6,102.5,102.4,102.2,102.3,102.6,102.7,102.5,102.8,102.6,103.1,103.5,103.5,103.6,103.7,103.9,104.6,106.1,107.3,108,108.3,109.3,111,112.4,114.3,116.6,117.9,118.6,119.5,120.1,121.4,122.4,122.9,124.3,126,127.9,128.6,129.4,129.6,129.6,129.8,129.7,129.4,129.3,129.2,128.9,128.5,128.4,128.2,128.3,128.3,128.2,128.1,127.8,127.6,127.2,127.2,127.1,127.2,127.2,127.6,128,127.7,128,128,128,127.3,127.4,127.3,127.3,127.5,127.4,126.7,126.2,125.7,125.4,124.9,124.6,123.9,124,123.8,123,123.4
Land only,103.7E,103.8E,103.7E,103.7E,103.8E,103.9E,103.9E,103.9E,104.0E,104.0E,104.1E,104.1E,104.1E,104.1E,104.1E,104.1E,104.2E,104.2E,104.1E,104.2E,104.2E,104.2E,104.3E,104.4E,104.8E,105.0E,105.1E,105.1E,105.1E,105.2E,105.9E,106.3E,106.8E,107.4E,107.8E,108.0E,108.4E,110.1E,110.7E,112.9E,113.4E,112.9E,113.0E,113.5E,113.8E,114.4E,115.1E,115.2E,115.5E,116.1E,116.5E,116.7E,116.8E,117.0E,117.2E,117.2E,117.1E,116.7E,116.6E,116.6E,116.5E,116.4E,116.4E,116.5E,116.6E,116.7E,116.7E,117.0E,116.8E,116.9E,116.8E,116.8E,116.7E,116.7E,116.8E,117.0E,116.9E,116.9E,117.0E,117.1E,117.0E,117.2E,117.3E,117.1E,117.2E,117.2E,117.3E,117.3E,117.4E,117.4E,117.6E,117.4E,117.3E,117.3E,117.2E,117.1E,117.1E,117.5E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E, use with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Corrections:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
