date,mortgage_arrears,loan_to_income_ratio,debt_service_ratio,debt_service_ratio_RESL2,mortgage_rate_5yrs_fixed,mortgage_rate_5yrs_variable,policy_rate,prime_rate
2018-01-01,0.2,280.79,16.9,,,,1.25,
2018-01-02,,,,,3.14,2.5,,
2018-01-03,,,,,,,,3.2
2018-01-09,,,,,3.14,2.5,,
2018-01-10,,,,,,,,3.2
2018-01-16,,,,,3.19,2.6,,
2018-01-17,,,,,,,,3.2
2018-01-23,,,,,3.19,2.55,,
2018-01-24,,,,,,,,3.45
2018-01-30,,,,,3.19,2.55,,
2018-01-31,,,,,,,,3.45
2018-02-01,,,,,,,1.25,
2018-02-06,,,,,3.19,2.5,,
2018-02-07,,,,,,,,3.45
2018-02-13,,,,,3.24,2.5,,
2018-02-14,,,,,,,,3.45
2018-02-20,,,,,3.24,2.5,,
2018-02-21,,,,,,,,3.45
2018-02-27,,,,,3.24,2.5,,
2018-02-28,,,,,,,,3.45
2018-03-01,,,,,,,1.25,
2018-03-06,,,,,3.24,2.5,,
2018-03-07,,,,,,,,3.45
2018-03-13,,,,,3.24,2.5,,
2018-03-14,,,,,,,,3.45
2018-03-20,,,,,3.24,2.5,,
2018-03-21,,,,,,,,3.45
2018-03-27,,,,,3.24,2.5,,
2018-03-28,,,,,,,,3.45
2018-04-01,0.2,267.87,16.17,,,,1.25,
2018-04-03,,,,,3.24,2.5,,
2018-04-04,,,,,,,,3.45
2018-04-10,,,,,3.24,2.5,,
2018-04-11,,,,,,,,3.45
2018-04-17,,,,,3.24,2.5,,
2018-04-18,,,,,,,,3.45
2018-04-24,,,,,3.24,2.5,,
2018-04-25,,,,,,,,3.45
2018-05-01,,,,,3.29,2.5,1.25,
2018-05-02,,,,,,,,3.45
2018-05-08,,,,,3.34,2.5,,
2018-05-09,,,,,,,,3.45
2018-05-15,,,,,3.34,2.5,,
2018-05-16,,,,,,,,3.45
2018-05-22,,,,,3.34,2.45,,
2018-05-23,,,,,,,,3.45
2018-05-29,,,,,3.34,2.45,,
2018-05-30,,,,,,,,3.45
2018-06-01,,,,,,,1.25,
2018-06-05,,,,,3.34,2.45,,
2018-06-06,,,,,,,,3.45
2018-06-12,,,,,3.34,2.5,,
2018-06-13,,,,,,,,3.45
2018-06-19,,,,,3.34,2.5,,
2018-06-20,,,,,,,,3.45
2018-06-26,,,,,3.34,2.55,,
2018-06-27,,,,,,,,3.45
2018-07-01,0.2,272.89,16.44,,,,1.5,
2018-07-03,,,,,3.34,2.65,,
2018-07-04,,,,,,,,3.45
2018-07-10,,,,,3.34,2.69,,
2018-07-11,,,,,,,,3.7
2018-07-17,,,,,3.34,2.7,,
2018-07-18,,,,,,,,3.7
2018-07-24,,,,,3.34,2.7,,
2018-07-25,,,,,,,,3.7
2018-07-31,,,,,3.34,2.7,,
2018-08-01,,,,,,,1.5,3.7
2018-08-07,,,,,3.34,2.75,,
2018-08-08,,,,,,,,3.7
2018-08-14,,,,,3.34,2.75,,
2018-08-15,,,,,,,,3.7
2018-08-21,,,,,3.34,2.75,,
2018-08-22,,,,,,,,3.7
2018-08-28,,,,,3.34,2.8,,
2018-08-29,,,,,,,,3.7
2018-09-01,,,,,,,1.5,
2018-09-04,,,,,3.39,2.84,,
2018-09-05,,,,,,,,3.7
2018-09-11,,,,,3.39,2.75,,
2018-09-12,,,,,,,,3.7
2018-09-18,,,,,3.44,2.85,,
2018-09-19,,,,,,,,3.7
2018-09-25,,,,,3.44,2.8,,
2018-09-26,,,,,,,,3.7
2018-10-01,0.2,271.9,16.69,,,,1.75,
2018-10-02,,,,,3.44,2.85,,
2018-10-03,,,,,,,,3.7
2018-10-09,,,,,3.44,2.88,,
2018-10-10,,,,,,,,3.7
2018-10-16,,,,,3.49,2.9,,
2018-10-17,,,,,,,,3.7
2018-10-23,,,,,3.49,2.95,,
2018-10-24,,,,,,,,3.7
2018-10-30,,,,,3.54,2.95,,
2018-10-31,,,,,,,,3.95
2018-11-01,,,,,,,1.75,
2018-11-06,,,,,3.59,2.95,,
2018-11-07,,,,,,,,3.95
2018-11-13,,,,,3.59,2.95,,
2018-11-14,,,,,,,,3.95
2018-11-20,,,,,3.59,2.95,,
2018-11-21,,,,,,,,3.95
2018-11-27,,,,,3.59,2.95,,
2018-11-28,,,,,,,,3.95
2018-12-01,,,,,,,1.75,
2018-12-04,,,,,3.59,2.95,,
2018-12-05,,,,,,,,3.95
2018-12-11,,,,,3.62,3.05,,
2018-12-12,,,,,,,,3.95
2018-12-18,,,,,3.6,3.1,,
2018-12-19,,,,,,,,3.95
2018-12-25,,,,,3.6,3.1,,
2018-12-26,,,,,,,,3.95
2019-01-01,0.21,271.89,17.11,,3.6,3.05,1.75,
2019-01-02,,,,,,,,3.95
2019-01-08,,,,,3.59,3.05,,
2019-01-09,,,,,,,,3.95
2019-01-15,,,,,3.61,3.0,,
2019-01-16,,,,,,,,3.95
2019-01-22,,,,,3.59,2.95,,
2019-01-23,,,,,,,,3.95
2019-01-29,,,,,3.59,2.95,,
2019-01-30,,,,,,,,3.95
2019-02-01,,,,,,,1.75,
2019-02-05,,,,,3.59,2.95,,
2019-02-06,,,,,,,,3.95
2019-02-12,,,,,3.54,2.95,,
2019-02-13,,,,,,,,3.95
2019-02-19,,,,,3.49,2.95,,
2019-02-20,,,,,,,,3.95
2019-02-26,,,,,3.49,2.95,,
2019-02-27,,,,,,,,3.95
2019-03-01,,,,,,,1.75,
2019-03-05,,,,,3.44,2.95,,
2019-03-06,,,,,,,,3.95
2019-03-12,,,,,3.39,2.95,,
2019-03-13,,,,,,,,3.95
2019-03-19,,,,,3.34,2.95,,
2019-03-20,,,,,,,,3.95
2019-03-26,,,,,3.29,2.95,,
2019-03-27,,,,,,,,3.95
2019-04-01,0.21,273.05,16.59,,,,1.75,
2019-04-02,,,,,3.19,2.95,,
2019-04-03,,,,,,,,3.95
2019-04-09,,,,,3.14,2.95,,
2019-04-10,,,,,,,,3.95
2019-04-16,,,,,3.09,2.95,,
2019-04-17,,,,,,,,3.95
2019-04-23,,,,,3.09,2.95,,
2019-04-24,,,,,,,,3.95
2019-04-30,,,,,3.09,2.95,,
2019-05-01,,,,,,,1.75,3.95
2019-05-07,,,,,3.04,2.95,,
2019-05-08,,,,,,,,3.95
2019-05-14,,,,,3.04,2.95,,
2019-05-15,,,,,,,,3.95
2019-05-21,,,,,2.99,2.95,,
2019-05-22,,,,,,,,3.95
2019-05-28,,,,,2.99,2.95,,
2019-05-29,,,,,,,,3.95
2019-06-01,,,,,,,1.75,
2019-06-04,,,,,2.99,3.04,,
2019-06-05,,,,,,,,3.95
2019-06-11,,,,,2.94,2.95,,
2019-06-12,,,,,,,,3.95
2019-06-18,,,,,2.89,2.95,,
2019-06-19,,,,,,,,3.95
2019-06-25,,,,,2.79,2.97,,
2019-06-26,,,,,,,,3.95
2019-07-01,0.21,282.51,16.63,,,,1.75,
2019-07-02,,,,,2.79,2.95,,
2019-07-03,,,,,,,,3.95
